date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-01,131377.1444438044,2696.456538185027,2229.873913427602,0,0,0,0,0,0,0,0,0,0
2020-03-02,131545.6501454849,2396.2129484414377,4468.839263392952,0,0,0,0,0,0,0,0,0,0
2020-03-03,130621.21717772672,3546.3522415807306,4121.6346563468815,0,0,0,0,0,0,0,0,0,0
2020-03-04,130208.51802304994,3696.8302980501785,3322.331491321273,0,0,0,0,0,0,0,0,0,0
2020-03-05,130171.67333976383,3285.0344270827777,4260.974628576174,0,0,0,0,0,0,0,0,0,0
2020-03-06,129855.77528240083,3945.4900165913077,3948.602289640601,0,0,0,0,0,0,0,0,0,0
2020-03-07,130139.7211792861,4234.189853192615,1782.142525330837,0,0,0,0,0,0,0,0,0,0
2020-03-08,130870.62695271472,2513.0232987593945,2060.3213847778416,0,0,0,0,0,0,0,0,0,0
2020-03-09,131021.45712130453,2221.460021109625,4408.6237769861145,0,0,0,0,0,0,0,0,0,0
2020-03-10,130227.60715853154,3717.35772225905,3911.2047567104146,0,0,0,0,0,0,0,0,0,0
2020-03-11,129952.20527060027,3634.4503046766326,4302.3160678131035,0,0,0,0,0,0,0,0,0,0
2020-03-12,129340.73688020602,3693.5287119015916,3770.091607790369,0,0,0,0,0,0,0,0,0,0
2020-03-13,129053.7148675081,3485.6695950924745,3892.104897312092,0,0,0,0,0,0,0,0,0,0
2020-03-14,128611.61713780076,3449.507167604746,1796.6224797296743,0,0,0,0,0,0,0,0,0,0
2020-03-15,129632.71134948538,2314.0618382435696,2103.4788333209067,0,0,0,0,0,0,0,0,0,0
2020-03-16,129519.3193581585,1990.0868419940105,5095.688978248441,0,0,0,0,0,0,0,0,0,0
2020-03-17,126799.4998305997,2378.284305762127,4674.4690507122095,0,0,0,0,0,0,0,0,0,0
2020-03-18,124290.7059947405,2165.6752148530363,4163.861589545925,0,0,0,0,0,0,0,0,0,0
2020-03-19,122016.47454747315,1891.576920990036,3994.0607492097915,0,0,0,0,0,0,0,0,0,0
2020-03-20,119727.1097668724,1705.6459686090832,3655.9955976946403,0,0,0,0,0,0,0,0,0,0
2020-03-21,117630.91165293838,1559.7974837605984,1262.334486583529,0,0,0,0,0,0,0,0,0,0
2020-03-22,117529.53071072155,1160.0535443666593,1228.7783368509085,0,0,0,0,0,0,0,0,0,0
2020-03-23,117239.5187524619,938.2663785912584,3501.884985945796,0,0,0,0,0,0,0,0,0,0
2020-03-24,115048.82497602042,1314.1243331367127,3382.766215638787,0,0,0,0,0,0,0,0,0,0
2020-03-25,113083.04499828027,1421.6529045652842,2874.1645672871387,0,0,0,0,0,0,0,0,0,0
2020-03-26,111395.16520369027,1186.7847726971522,2549.8725037950758,0,0,0,0,0,0,0,0,0,0
2020-03-27,110151.10604402088,1307.7276298400095,2432.1201228426944,0,0,0,0,0,0,0,0,0,0
2020-03-28,108956.71355101821,1238.6442965066763,890.8357794083513,0,0,0,0,0,0,0,0,0,0
2020-03-29,109172.1240883186,1109.9352055975855,1001.5670925396644,0,0,0,0,0,0,0,0,0,0
2020-03-30,109125.50129228557,955.2776298400096,2300.1226480952196,0,0,0,0,0,0,0,0,0,0
2020-03-31,107976.27849625259,1150.2070416047156,2237.5695079986017,0,0,0,0,0,0,0,0,0,0
2020-04-01,106926.28547075098,1189.7697192119904,2501.9988558246887,0,0,0,0,0,0,0,0,0,0
2020-04-02,105646.01466747164,1224.2280525453236,2227.939332015165,0,0,0,0,0,0,0,0,0,0
2020-04-03,104732.27759435099,1195.7151557199268,2113.7436429819754,0,0,0,0,0,0,0,0,0,0
2020-04-04,103709.14658183645,1093.1974789522499,929.439602577935,0,0,0,0,0,0,0,0,0,0
2020-04-05,103702.23779154409,922.5308122855832,882.5729359112685,0,0,0,0,0,0,0,0,0,0
2020-04-06,103669.56233458506,849.8974789522499,2048.1771025779353,0,0,0,0,0,0,0,0,0,0
2020-04-07,102719.47021095938,1100.52247895225,1932.970663183996,0,0,0,0,0,0,0,0,0,0
2020-04-08,101954.02202672763,1156.73164883642,1874.8680870923072,0,0,0,0,0,0,0,0,0,0
2020-04-09,101268.55738323841,1176.1078526181118,2100.0610191526594,0,0,0,0,0,0,0,0,0,0
2020-04-10,100413.4025718599,1426.4062077741314,1480.0355057771455,0,0,0,0,0,0,0,0,0,0
2020-04-11,100293.4197940034,1361.7860612539848,724.434889495279,0,0,0,0,0,0,0,0,0,0
2020-04-12,100649.2906507068,1078.3057461986698,752.450798586188,0,0,0,0,0,0,0,0,0,0
2020-04-13,100811.00620437985,914.0240758365115,2042.0783854302385,0,0,0,0,0,0,0,0,0,0
2020-04-14,99891.98768562132,1121.2757757626016,1833.0442945211475,0,0,0,0,0,0,0,0,0,0
2020-04-15,99261.94340928705,1201.5250181868441,1764.7493669849157,0,0,0,0,0,0,0,0,0,0
2020-04-16,98687.72050976432,1190.1098007955395,1815.6792815148299,0,0,0,0,0,0,0,0,0,0
2020-04-17,98120.51545212197,1249.307557205796,1741.2209481814966,0,0,0,0,0,0,0,0,0,0
2020-04-18,97698.71317225735,1317.8770016502403,815.3723370703856,0,0,0,0,0,0,0,0,0,0
2020-04-19,97986.0192257261,1100.9283905391296,844.1223370703857,0,0,0,0,0,0,0,0,0,0
2020-04-20,98094.40861252819,948.3450572057963,1791.8110436340921,0,0,0,0,0,0,0,0,0,0
2020-04-21,97680.05240730967,1379.9549596906986,1784.750335542502,0,0,0,0,0,0,0,0,0,0
2020-04-22,97306.29891090193,1410.6635058014504,1718.2978824400489,0,0,0,0,0,0,0,0,0,0
2020-04-23,97006.64822834705,1341.5541454098764,1666.75899355116,0,0,0,0,0,0,0,0,0,0
2020-04-24,96747.87701909659,1392.220661013058,1689.8449584634404,0,0,0,0,0,0,0,0,0,0
2020-04-25,96649.24484493393,1590.0461176340625,848.2724157283977,0,0,0,0,0,0,0,0,0,0
2020-04-26,97063.23008530111,1263.4243227622676,855.3981733041553,0,0,0,0,0,0,0,0,0,0
2020-04-27,97319.0441135471,1112.1462924592377,2000.387242568224,0,0,0,0,0,0,0,0,0,0
2020-04-28,96735.82462808458,1418.184423772369,1756.731048762031,0,0,0,0,0,0,0,0,0,0
2020-04-29,96520.96518258208,1513.070276171336,1955.1843483097655,0,0,0,0,0,0,0,0,0,0
2020-04-30,96043.08569268866,1482.171817480664,1847.1346407074261,0,0,0,0,0,0,0,0,0,0
2020-05-01,95742.64072660478,1547.5468174806642,1754.396672403329,0,0,0,0,0,0,0,0,0,0
2020-05-02,95498.52589248569,1510.4433767457717,921.7094929161492,0,0,0,0,0,0,0,0,0,0
2020-05-03,95980.17687033239,1402.527137429532,917.3148947606815,0,0,0,0,0,0,0,0,0,0
2020-05-04,96307.49556886421,1245.5919266258434,2033.3009448217317,0,0,0,0,0,0,0,0,0,0
2020-05-05,95747.63648961825,1596.388752022669,1783.7547757130626,0,0,0,0,0,0,0,0,0,0
2020-05-06,95569.06907703898,1605.18736313378,1585.2190614273488,0,0,0,0,0,0,0,0,0,0
2020-05-07,95652.7581579662,1667.4081423545592,1783.0389748472617,0,0,0,0,0,0,0,0,0,0
2020-05-08,96135.04404625273,1700.1055820171555,1780.1575565071475,0,0,0,0,0,0,0,0,0,0
2020-05-09,95983.48959890867,1633.2825963426,883.670377019968,0,0,0,0,0,0,0,0,0,0
2020-05-10,96488.43515156466,1389.0325963425998,873.7294679290588,0,0,0,0,0,0,0,0,0,0
2020-05-11,96868.52615876605,1252.0347608447642,2537.2252402123313,0,0,0,0,0,0,0,0,0,0
2020-05-12,96225.47794130325,1891.8308689033727,1828.48092896802,0,0,0,0,0,0,0,0,0,0
2020-05-13,96101.85224576297,1704.8552334277374,1876.521801983893,0,0,0,0,0,0,0,0,0,0
2020-05-14,96095.5876613338,1871.6322175547214,1811.925551012642,0,0,0,0,0,0,0,0,0,0
2020-05-15,96101.00139858294,1816.839288261792,1738.425551012642,0,0,0,0,0,0,0,0,0,0
2020-05-16,96371.3469540139,2006.3711064436102,1007.5294471165381,0,0,0,0,0,0,0,0,0,0
2020-05-17,96945.32887308123,1581.4692416417454,1065.0770661641573,0,0,0,0,0,0,0,0,0,0
